id;from1;comment1;date1;testcountry
509;Raquel C;Amazing tour!! I will stay for 3 days in Sofia and the tour was the perfect way to start my stay in Sofia! Really nice and helpful guide too, Kristina :D ;01.11.2014;Italy
510;Scott2586;A free walking trip (it's up to you to make a donation at the end) which orientates the major sights and gives you an overview of the city. Very friendly and welcoming guides and it's great to meet a few fellow travellers, especially if, like me, you're on your own. Highly recommended :) ;02.11.2014;United Kingdom
511;Andrii L;Besides info about Sofia, I got new friends, new information about other people living, their thoughts, and why they like traveling. After this tour, parts of Sofia city make some sense to me, nit just a buildings. And this is the best I think. ;02.11.2014;
512;Ove S;This is the way to see Sofia. We had a great tour with Dino and it seems to me that all the guides are as enthusiastic and their level of love for their home city can only be envied!;04.11.2014;
513; 7Oat_Meal7;Thanks Slavian, was nice, interesting and light. Got to know all these trivia facts i hope wont forget. Also good for getting to know other travellers etc ;04.11.2014;Burundi
514;RobandChris2014;Even though I have lived in Sofia for over a year, I just recently took the Free Sofia Tour when we had a friend visiting and I found it to be very interesting. I learned many interesting facts about the city and saw some sites I di not even know about. Our guide spoke excellent English and he had a very good sense of humor as he told us about particular aspects of Bulgarian culture and history. Even though the tour is 2 hours long, the time goes by quickly and you can leave early if you want. Highly recommended for visitors in the downtown area as it is a great area to walk around. ;04.11.2014;Bulgaria
515;Rebecca B;The Free Sofia Tour is absolutely the BEST free thing to do in Sofia! The tour happens rain or shine, and you don't need to make a reservation - just show up. If you're coming with a larger group (10 or more), they do ask that you send a message so they can ensure that there will be enough guides. I've taken the tour three times and have learned new things each time. The guides are all very energetic and don't mind the endless questions people in the group ask. It's a great way to see the city, learn some history, and get orientated to the central area of the city. The guides also give helpful recommendations on other places to visit, restaurants to try, and activities happening in the city. Highly recommended! ;04.11.2014;
516;Sofie K;"The guides where energetic and positive. You never stopped listening since she was so captivating in her stories. We went to around 8-10 places in a near-by area (took 2 hours) and she told us some stories about the places that we would have never known without this tour. Simply amazing! It costs
 nothing, but they appreciate a gift to their future work. ";04.11.2014;Sweden
517;Nikolay M;"It is worth to do a free guided tour in Sofia. I did it myself just to see the quality and can positively say that the guys who do it are already specialists :) They guide you through the ancients remains of Sofia as well as between the modern look and the bonus is that you always can ask them and receive quality answer 
";05.11.2014;Bulgaria
518;asgnyc1;"Took the tour three nights ago and loved it. A really good time and a fantastic way to learn about Sofia and Bulgaria's history/see things from a local's perspective. Viki was amazing! So knowledgeable, friendly, funny, candid and passionate about sharing all that she knows and helping people to get to know her city/country.

Thanks again for having such a great program. We really enjoyed it and highly recommend it!

Nazdrave!
The American boys (Andrew, Kevin and Andy)";07.11.2014;
519;w j;A 2-2 half hour free tour by very knowledgeable guide, walking around the main sites of Sofia with history to go with it. We didn't have time to go inside the attractions, so we went back the next day. We left a good tip at the end. ;11.11.2014;Northampton, United Kingdom 
520; Alice T;Great tour of an interesting and (in my case), little known city with a very varied history that I would have had no idea about had we not attended!;16.11.2014;
521; Serhat T;"I really like this Free Tour stuff. I really enjoyed the one in Copenhagen 2 months ago, and of course the last one 16.11.2014 in Sofia.
Daniel is a very friendly and smart guide and accompanied and entertained us for 2.5 hours tour in a cold Sofia day.
Nothing much to see in Sofia, compared to other European capitals, however without this tour, you would be passing by a statue or a historical place, without knowing the history.
I recommend for those who think they will be bored in Sofia.
Although it is a free tour, you are expected to give a few Levs for the guide's effort.
You must not runaway at the end of the tour like the Erasmus kids.
Just a few Euros will not make you poorer! Please respect the service.
Blagadoria Daniel and Sofia Free Tour. ";17.11.2014;Istanbul, Turkey
522;Aaron B;"I've done a few walking tours now and this one is one of the best that I've attended.. It's rather professional, quirky and interesting. I found that the demographic varied a fair bit which was nice to see, generally it's people in their 20's but it was good seeing older people get out and checking it out too.

Really good value people! ";18.11.2014;
523;Sean M;"If you are travelling to Sofia and think that the place is a bit of a shell rather than substance, then you can't go past the free Sofia tour.

The tour guides are fluent in English and full of interesting facts about the area. With around 6,000 years of history from before the Thracians (Hercules times), to the Romans, the Byzantines, Ottomans and Russians, it really is a lot to take in. I am a bit of a fan of history anyway, but this tour really filled in a lot of gaps about Bulgaria and its people.

Don't do yourself a disservice, jump onto the next tour as I am sure you will glad you did so..... 
";19.11.2014;Perth, Australia 
524; Asselah;I was in Sofia the last week of October and that was the first time I heard about ree walking tours, so I decided to take one. Vasco, the guide, speaks a very good English, he's knowledgable, smiley and superfriendly. The best way to know the city and to fall in love with Bulgaria. Strongly recommended! ;19.11.2014;Italy
525;LaurenceAix;Filip was our guide for the 6 pm tour. He is friendly and shares his passion for Sofia. Despite the cold, no one left the tour before the end. In fact, Filip not only knows a lot but he has also the ability to make History as a living and entertaining experience ;21.11.2014;
526;Nicola P;We did the free Sofia tour last week. I would definitely recommend. Guide was very knowledgeable and offered extra little bits of info that you wouldn't get in any guide book. ;23.11.2014;
527;Mark S;Fantastic tour by Daniel. Very knowledgeable, very interesting. Would highly recommend Thank You very much ;23.11.2014;
528; gingalala;"I joined one of this evening tours to walk around Sofia. Really nice. Niki, who was our guide was fun and knowledgeable and full of energy. Loved it. Appreciate the fact that they are doing it for free throughout the year, whatever the weather be.

Get to know the beautiful city from the eye ( and mouth) of a local.. ask questions, and enjoy.

Well done guys, keep up the good work. ";29.11.2014;London
529;Miguel N;The guided tour was really nice. With a lot of stories, explanations, and even a 'play' to explain the history of Bulgaria ! . It was definitively worth it. ;30.11.2014;
530;Emilie C;Viki was an excellent tour guide! She is very knowledgeable, interesting and has a very cute accent. The tour made me realize that locals really are the best sources of information... reading from a book does not do the city justice. I would definitely recommend the tour! ;30.11.2014;Canberra, Australian Capital Territory, Australia 
531;aussietravelingthere;It is a true fact that this be ranked #1 for Sofia on Trip Advisor. Our fantastic tour guide gave us the very best experience to soak up the history and interesting quirkiness of Sofia. The walking was easy with opportunities to photograph the sites. We had a laugh when our guide had us act out the historic leaders over the ages. Although Sofia has had such a repressive past it was enlightening to experience the optimism of our younger generation guide and his love of his city. ;07.12.2014; Australia
532;Neda_Raleigh;We were visiting Sofia for only two days, mainly to see a concert at the National Palace of Culture. Of course we wanted to experience as much of Sofia as we could whilst we were there, and this was definitely the best way of doing that;14.12.2014;United Kingdom
533;Mohamed S;"Free Sofia tour is a a great helpful tool to enjoy your stay and get a lot of information in an amusing way . The guide ( Nora ) was amazing skilled person .she got my attention since she said good morning .I recommend free Sofia tour for any one going to sweet Bulgaria ;) ";23.12.2014;
534;prakash2104;This free-of-cost event was most fantastic event to know about the city history. The youngsters handling the tour were very enthusiastic and explain about the culture and heritage of the city. But one must note that tour covers just the outside of important places due to limited time.;26.12.2014;India
535;seekingnoam;It was snowing and cold but Kristin our guide did a fantastic job. In 2.5 hours we saw multiple sites and received a great lecture about the history, archeology and politics of Bulgaria. She spoke good and clear English, was funny and told great anecdotes about her people. The tour will be a great introduction to Bulgaria for you! ;28.12.2014;
536;Louise H;"I took the tour at the end of a few days in Sofia with work and really pleased I did.
Vasil made sure he introduced himself to all arrivals on the tour and gave a very enthusiastic account of the thousands of years of history to Sofia's city centre, even including an interactive role play of the royal family!";29.12.2014;Ireland 
537;Dinh1188;I accidentally came by the group when they were about to start and decided to join. Nikola our guide finally did a very impressive and informative presentation about his Sofia and showed us the main landmarks in about 2.5h. ;30.12.2014;France 
538;Laura F;It was such a good time, our guide Dino was so nice and his English was perfect. He learnt us a lot of things about the city and we saw some lovely buildings. Even if it was cold, we could forget our frozen foot to discover the city :) thank you very much ;30.12.2014;France
539;Goran D;This is a tour that everyone must take, weather you are alone, a couple, a family or with friends. The guide Niki is such a fantastic lad, with great English, funny and friendly guy. All the past time periods of the city came alive whith his storytelling. ;02.01.2015;
540;Neusi_12;"It was great, very cold but Kristina did a comfortable tour with many points of history to have a context about Sofia and the country. I recommend this tour for people who come to Sofia the first day. With that, you can see the buldings more interesting and where they are and then you can go inside wherever you want.
Kristina was didactic and funny. Congratulations!!";02.01.2015;Spain
541;MikeOghia;I visited Sofia from Dec. 26-28 and was fortunate enough to go on this tour with an incredible tour guide, Kristina. It does a great job of introducing some of Sofia's notable points and providing history of the city.;03.01.2015;Turkey
542;Sergei-Avramenko;"Despise ""bizarre weather"" I enjoyed every minute of it. I love history and know some things. Still I learned a lot. This tour was a very nice introduction that gives a good picture of Bulgaria and its people. The tour guide Kristina was nice to make the atmosphere as good as possible. What she did very well. ";04.01.2015;Bulgaria
543;David R;This is 5000 years of Bulgarian history, 1000 years of history of Sofia/Celtica concentrate in a 2 hours roundtrip on foot in downtown Sofia with an interesting bunch of tourists and one or two very nice guides. ... and it's free (donations are welcome). ;05.01.2015;Switzerland
544;towstt;By best tour I mean including those I've paid for in all my experience. The guy was funny, polite, clear, artistic, spoke very good English. The best and most funny part was where he volunteered the audience to participate. You definetily have to try it.;06.01.2015;Israel
545;Barry416;It's Free...a great historical overview and key sights in the city centre. Be prepared for a couple hours of information with short spurts of walking. Anna answered all questions and made the tour a lot of fun. Couldn't have asked for anything more! ;15.01.2015;
546;Ilovefrenchpolynesia;I highly recommend doing this free tour. They walk you through the city showing the main attractions without actually going in to inside the places. If you have one day to see the city, it's a great way to explore Sofia.;16.01.2015;海外
547;TheDoc30;Our guide Dima was really nice and knew how to make us laugh :) I would highly recommend to try the tour, it's also a great way to meet new people, whether you're a solo traveler or with friends. ;18.01.2015;USA
548;Lorens87;Interesting, funny, plenty of great anecdotes. A tour that brings you to a whole mix of Sofia and Bulgarian History. Guide was just brilliantt, sorry that I forgot his name but he studied in Germany. Highly recommanded, One of the highlight of my stay ;23.01.2015;Poland
549;Arianata;This organization provides tours twice a day, in the morning and at 6pm. I found it very useful to organize my journey, and I havent seen it in other cities. ;26.01.2015;Argentina
550;Jonathan E;I was in Sofia for a week working and had just a few free hours. I am so glad that I did this tour. Our guide Martin was brilliant and I got a great sense of this lovely city. If you do one thing in Sofia make sure it is to go on this tour! ;30.01.2015;United Kingdom
551;BConstructive;The tour was brilliant. Dessi our guide was energetic and entertaining and really knows her stuff! I'll take the tour again and I'll go back to visit snide some of the locations (you only stop outside). An idea would have been to take an empty bottle to collect mineral water. Thank you ;31.01.2015;United Kingdom
552;RKT0210;"Sofia is one of the best city in Eastern Europe . Excellent Climate & a neat city. People are cooperative. Cost of living is reasonable compared to the other European City. It is right destination for the people who love sirenty & quietness. All kind of food available there . For Indian there are some good Indian restaurant like Tajmahal which serves good Indian cuisine.
Recommend for a holiday trip with the family ";01.02.2015;India
553;DianaCossi;The tour is completely free but they show you all the main monuments of the center and they explain you their history... It's very interesting and is like speaking with a friend. Absolutely recommemded!!!! ;01.02.2015;Croatia
554;Ian M;Excellent tour even though it was snowing hard and somebody forgot their gloves! The weather conditions and the night lights made it quite magical. ;06.02.2015;United Kingdom
555;Kitty K;Blagudarja (Thank you) Slavyan! Great tour spiced up with lots of fun and jokes, but has high quality content. I highly recommend to anyone. They have other topic tours as well. Amazing as it is! We want to come back in a summer time to see other cities and take their other tours. Ciao! :) ;08.02.2015;
556;Zlatoela;"No matter how cold it was outside Niki was absolutely awsome guide! I live in Sofia for quite some years now and I have never found it so interesting and stunning. I have sent foreign friends to this tour, but when my husband and me finally went ourselves I understood truly what everyone was talking about. 2 hours spent in another time and place while walking in the streets of our well known city.

Thanks again Niki, couldn´t ask for a better guide! ^_^";08.02.2015;Bulgaria
557;manux77;With only a few hours in Sofia, I decided to join the tour after having good experiences in other cities. This was again a very good one! Our guide, Dino, was fun and informative, providing just the good mix of historical facts and fun anecdotes. Recommended!;09.02.2015;Belgium
558;RebeccaRubia;I'd been living in Sofia for a year when I decided to take the tour and I loved it! I learned so much about the history of the buildings which I'd seen many times before but had no idea about! I also found it was a great way to find my way around the city on foot as previously I was only going by car to the city centre. The tour guide was great, he gave us lots of local knowledge and made everything interesting and fun. I highly recommend the tour! ;08.02.2015;Bulgaria
559;AkramAli;"The best way to see the city and learn about its history...Our guide ##kristina## was very energetic and informative about the city and how to move around the city,even though it was freezing outside.I have never been a big fan of tour guides coz i like to travel on my own pace.But this short event was real fun for me,especially organized by a non-profit organisation.Donating a bit for the good cause isn't gonna hurt our pockets...
Loved it :) ";11.02.2015;United Arab Emirates
560;Wiltshire G;"I was in Sofia recently and went on the Free Sofia tour, a two-hour walking tour around the key central sights. While it covers lot of ground, the walking involved is probably managable for most people.

The tour covered all the key places you would want to see, and our guide Dino provided information on history, architecture and society.

This was a great attraction that I would recommend to others. ";11.02.2015;United Kingdom
561;Tamaris84;Very detailed and very interesting! The guide (Hi Kris!) was very entertaining and knowledgeable and the tour itself covers the most important sites in Sofia. It's best you the morning tour and have the afternoon to go back to the sites of your choice. ;12.02.2015;Belgrade
562;AteRaveller;We covered an amazing amount of ground in two hours. It's a good way to meet other travellers too and I had a good chat about Ukraine with a student from Kiev. ;16.02.2015;United Kingdom
563;Di C;"At the beginning of February I found myself in Sofia for a couple of days on business. As this was my first time in Bulgaria, I started researching how to best utilize my time after work to explore this wonderful city!
I found Free Sofia Tours and at 6pm on our first night there, a colleague and myself found ourselves being led all around the city by one of the guides Kristina! Kristina was an absolute dream of a tour guide; not only did she have extensive knowledge about the history and cultural backgrounds of every place she took us too, she was happy to answer any questions we had, and even handed out Bulgarian sweets as prizes for impromptu quizzes! We had a great time walking around Sofia and by the end of the 2 hours I felt as though I had a much more comprehensive understanding of the city which was great to draw on for the rest of my time there.
So a big THANK YOU to Kristina for being an amazing guide, and THANK YOU to Free Sofia Tours for providing such a great service!! ";17.02.2015;United Kingdom
564;david b;"The tour is great way to know Sofia in short time which you can later to explore by yourself
The guides are very good and speaks fluent English
They can give you also tips where to eat and see more things
Try also the food tour which is great experience to taste some local food
Don't forget to tip the guide because this is the way to keep this nice tradition ";18.02.2015;rishon lezion 
565;S4327XUsarah;The guide was very informative. It was a great way to see a lot of the city and learn about the history. ;18.02.2015;Bulgaria
566;fifi621;"We walked around by ourselves the day before but decided to join this tour as we had time and would like to know more about city. We joined the 11am tour on Sunday and we had Alex as our guide. She was fun and tried to involve everyone when telling us the history/stories of the city. The pace of the tour was adequate and no rushing around (plenty of time for photo-taking). At the end she answered many questions like where to have lunch, how to get to places etc...
We are glad that we followed this tour because we missed a few things on the first day and Alex did a fantastic job giving us the background of the places we saw! ";18.02.2015;Italy
567;renaudgr1987;I have to say I am impressed by the professionalism of the guide (Vasil). He was full of interesting facts, he was informed, knew the dates, the history, the buildings and he was also pretty funny. Every tourist who wants to know more about Sofia should do the tour, seriously. ;18.02.2015;Bulgaria
568;Xxdims;Excellent tour. Niki was very cool and had a very good knowledge of the history of Sofia and Bulgaria in general. I would recommend this to everyone;24.02.2015;
569;JeremyNicholas;We had Dino as our guide, who is an actor and a very enthusiastic and funny guy. His pride in his city shone through, but he was also full of tongue in cheek comments that made it an enjoyable two hours. Jeremy Nicholas - writer and broadcaster ;24.02.2015;United Kingdom
570;Paula M;Great way to star a visit to Sofia! We were really impressed by the beautiful city and all the histories we found out with our guide, who, by the way, was probably the best one we have ever had in Europe! :) ;28.02.2015;Curitiba, PR
571;NavdeepBrar;A very good experience. Nora was our guide and it sounds amazing when she told about the stories around the city places visited. would recommend to everyone. ;28.02.2015;
572;Artsylena;It was really nice. Despite the chill weather our guide Dima made it through the end. She was kind and well-informed, gave us martenitsas! I am Bulgarian and learned a lot of things :);04.03.2015;USA
573;Natalie D;Deni our tour guide was amazing! She was so friendly, intelligent and easy to talk to. Plus she made the trip very interesting and not boring. She also allowed us to take pictures and take our time. Best tour especially since it was my first time coming to Sofia. I am Bulgarian myself but I am from USA and I learned so much. It is a must do when coming to visit. Thank you Demi for such a wonderful experience.;09.03.2015;USA
574;Kaloyan_P_Todorov;It was really nice. Despite the chill weather our guide Dima made it through the end. She was kind and well-informed, gave us martenitsas! I am Bulgarian and learned a lot of things :) ;04.03.2015;Bulgaria
575;Artsylena;"Loved this walking tour! Our guide was extremely knowledgeable and a wonderful person! Even took us to a great small ""mom and pop"" restaurant afterwards. Food was delicious! This tour was well worth the time spent. Make sure you tip these excellent guides well! ";08.02.2015;NJ
576;Tojake1974;"Thank you Alex and the free Sofia tour team for show casing Sofia and for enlightening us on the history of your beautiful city. This is a ""must do"" tour for every visitor to Sofia.Thank you once again Thomas Jacob(India)";03.03.2015;India
577;p0tter32;We rarely do tours but decided to try this one on the advice of a friend. It was very informative and included many sites we would have passed up had we been on our own. There were so many interesting finds --including great souvenir shopping! Highly recommend.;11.03.2015;USA
578;Robbi_HW;Our guide was Kristina, very informative and did a great communication. I enjoy it, thanks freesofiatour and 365association.org;11.03.2015;Bulgaria
579;Sarah B;Our tour guide Martin was very knowledgeable and enthusiastic about his city. We did the 6pm tour which was nice as we got to see the city at night time. I'd recommend doing this when you first arrive in sofia to get your bearings. We saw most of the main sights and learnt things along the way. It's good for meeting other like minded people too.;16.03.2015;UK
580;PEZI84;I enjoyed this tour today. We were a group of 15 people from all over the world. It was fun talking to them and to learn about the history of sofia toghether. Kristina - our guide - did a great job. She was very friendly, funny and open for any questions we had. I totally recommend this tour and will do more of those tours in other cities.;16.03.2015;Italy
581;filipecmatos;This tour must be the first thing you while in Sofia! This will give you an overview about the city and its history in a really entertaining and funny way. The guide is always a local from Sofia and knows a lot about the city, things that you hardly will know visiting the places by yourself. And believe me, Sofia's history is really interesting! After this tour you'll be more prepared to visit all the buildings and monuments in Sofia.;18.03.2015;Portugal
582;Rob J;This was the highlight of my trip! The tour was extremely informative and very welcoming. It was great interacting with locals and hearing a natives perspective! The tour guide spoke perfect english and was extremely knowledgable. The pace of the tour was great and everyone was extremely friendly. If you are in Sofia for a limited amount of time and want to see and learn about the major attractions look no further this is the tour to do!;23.03.2015;USA
583;JoaoPCF;Had a blast with Kristina. Shee showed us Sofia like no casual travel guide could. Real chilled and intelligent whilst being informative and fun. Can recommend for anyone visiting this beautiful city!;24.03.2015;Portugal
584;DMBTraveler;"A ""Must Do"" in Sofia, no doubt about it! Tour meets daily around 11am and it will last about two hours although you are free to leave at anytime. 

Trust me, you will not be disappointed as you learn the highlights about Sofia while taking a leisurely stroll. While the tour is free, tips are welcomed but not necessary to participate.";24.03.2015;USA
585;Bart T;I did this tour with a friend who is a native and even she said she learned much. Niki was our tour guide and he did such a great job explaining everything. I highly recommend this FREE tour to anyone visiting Sofia. It is very casual and if you feel the need to leave the tour for anything it is no problem.;27.03.2015;USA
586;maria11linz;We were lucky to come to this tour with dino who was so much fun to listen to! Amusing and cheeky comments on bulgarian history, friendly, open for all questions...it's simply unforgettable and a MUST! Thank you for this excellent and iinterestingtour through sofia!;28.03.2015;Austria
587;Ashok S;We did this tour in January 2015. I don't remember the name of our tour Guide but she was great, very knowledgeable about Sofia's History and shared it with enthusiasm with us and others in the group. A good way to get an over view of Sofia! I highly recommend this FREE walking tour to any one visiting Sofia!;29.03.2015;Canada
588;Georgia B;Exceptional tour! Great job guys. The guided tour was so specific and interesting. Sofia is a beautiful city with a various history and amazing people who continue this.✌;31.03.2015;UK
589;Cati Alina Bianca Dragomir ;A great city tour. Our guide Vasko, is very well prepared, funny and nice. He helped us learn about Bulgarian history and about Sofia in an interactive and lovely manner. It was sure worth it!;05.03.2015;Romania
590;Mau Tamez;Best walking tour I have ever take and all because of our amazing tour guide Kristina Arnaudova, no doubts she is the best guide tour. If you can take the tour with her i totally recomend it.;06.03.2015;Brazil
591;Maria Seheń ;We had a great tour with Vasco that turned out to be private - just for me and my boyfriend! Despite the cold and rain he showed us the beauty of the city and told us all we wanted to know and of what we thought of asking about on the culture, sociaty, cuisine etc. Great! Defenitely recommending!;05.03.2015;Poland
592;Lou Rais ;Very nice experience ! I definitely recommend it ! You'll see most of the important places and learn a lot about the history all with nice guide !;10.03.2015;France
593;Antonio Scarafino;Simply great! A big thank to Martin and Boyko, our guides. Your love for Sofia is really contagious!;10.09.2012;Belgium
594;Attilio Bruno;Veramente bravi! Sofia spiegata con simpatia in una passeggiata di due ore. Continuate così!;16.03.2015;Italy
595;Konstantinos Katsanoulas;Vasco was an excellent guide!;19.03.2015;Greece
596;mothra00;"Our guide was Dino. Did a super job. There is something about getting the perspective of a local when visiting a new city. Even though it is a ""free tour"", please don't forget to tip. They deserve it.";01.04.2015;USA
597;marijansesvete;There are many informations and the guide was kind. It lasted 2.5 hours but was very usefull. The guide spoke perfect english and was available for questions.;03.04.2015;Croatia
598;JonerikBlank4780;Awesome tour. Fast moving tour gives a great overview of important sights in Sofia. The tour guide, Kristina, was very friendly and had great English. I highly recommend this tour to anyone new to Sofia.;05.04.2015;USA
599;A TripAdvisor Member;My friend and I took the tour just after we arrived in Sofia and it was a great way of getting our bearings in the city. Our guide, Kristina, was great! She was so friendly and we learnt so much from her. The tour is free and is strongly recommended;07.04.2015;-
600;R-Tekke;"I actually live here since a bit over 6 months, but Kristina Arnoudova gave me a lot of information that I had no idea of. The weather was horrible, but I have had a great day. I don't speak more than twenty words of Bulgarian, but I do get the idea that I am part of this beautiful country. I never wanted to come here, but by now I don't feel the slightest need to go anywhere else. Actually making money is still possible in this country (not entirely unimportant). The city is older than Rome and Athens and Bulgarians are beautiful people that aren't touched by modern Western decadence. I have lived in Italy for many tears, but: Serdica mea Roma est.
https://www.youtube.com/watch?v=zB3Jov78IRo";09.04.2015;Bulgaria
601;Isurehopeso;I took the tour on my first full day in Sofia and it was a very smart decision. Kris led our tour and he was informative, entertaining and very approachable and friendly. He was the ideal host and had just the right amount of enthusiasm too. I highly recommend the Sofia Free Walking Tour. The only suggestion I'd make is for the company to put the address of the meeting point on their website instead of just saying that the group meets at the Palace of Justice. This would save would-be participants one step in googling the address but this is obviously a minor point. Excellent tour!!;09.04.2015;Canada
602;Michaël D;It was awesome. Thanks you. I want to do it again because I guess the experience depends on the guide.Anyway, it must to be done. Top quality time and for free.;12.04.2015;Germany
603;whoismikejones;If you have a day to see the city and want to use it productively, I definitely recommend this tour. Our guide was very nice and spoke excellent English.;10.04.2015;UK
604;Waiyu C;A great way to see most of the city, especially when you don't have much time. It's also very convenient that they have two tours a day. Though it rained and was quite cold that day but the guide made the most of his efforts to keep the atmosphere up!;13.04.2015;South Korea
605;Papadopoulos_Giorgos;Congrats on everyone that came up with the idea and made it real. Great walking tour arround Sofia, the visitor learns a lot about the history, the buildings, the sights, all you need to know about the city. Our guide Nora was full of energy and enthousiasm, eager to answer every single question. It was fun, educational, not at all boring or tiring. Well done guys!;14.04.2015;Greece
606;Eivind S;This free walking tour gives you a great introduction to the history and main sights in the city and the best of all, it is free. I suggest that you give a big tip at the end as it all goes to charity. Great tour and great guides.;15.04.2015;Norway
607;Nina H;One of the best tours you can go to, we enjoyed it very much. Easy to follow and you don't feel the time. Thank you Stefan for an enjoyable time.;15.04.2015;USA
608;Maya K;It was a great start! a funny, easy going, interesting and free summery of the city and the Bulgarian history. We had an awesome guide - Niki - 2.5 hours went by really quickly :-);16.04.2015;Israel
609;Carol E;"I was staying in downtown Sofia over a weekend while working in the area. My colleague recommended the tour as it was in English and was FREE!! We walked to the starting point from our hotel. It's easy to spot the tour group near the big Lions at the Justice building. The guides are wearing jackets and holding signs. The tour takes place every day at 11 am and 6 pm. I took the 11 am tour. We left about 11:10 and we were finished by 1 pm. 

Dino was our tour guide and he was very entertaining and answered any questions that we had. At each location he had a story for us and even some jokes. We saw all of the major churches and a few other famous statues and buildings. You don't go in any of them but it's easy to go back to the spots after the tour is over and spend more time at or in them. 

He also taught us a bit of the history of Communism in Bulgaria and I found that part very interesting. 

When the tour is over, you can give him a tip/donation and it was well worth it.";17.04.2015;USA
610;Pamela L;I went to Sofia a long time ago and I have been in free walking tours before and after I left and there has never been a better tour EVER! I hate walking but Martin made it so worth it, I would love to be able to have him as my guide everywhere I go. If you go there ask for Martin!;18.04.2015;UK
611;Canada4649;My husband and I enjoyed this walking tour on April 10 and it was the highlight of our three day visit to Sofia. Vasko, our guide, was such an enthusiastic and knowledgeable ambassador for his city that the time passed all too quickly. We came away with a great appreciation for Bulgaria's history and Sofia's charms. Although, we were part of a large group, Vasko took time to answer any questions and engineered a brief historical drama incorporating audience participation. We highly recommend this tour. If possible make the tour your introduction to the city and then you can visit the interiors of the churches, museums, etc which are of interest to you later. Thank-you, Vasko, for a great tour.;18.04.2015;Canada
612;1missvee;My friend and I visited Sofia for a few days, we joined as a group for a free Sofia walking tour on the 24th April 2015, we met @The Palace of Justice which was only 2minutes away from our hotel. First for the Cultural tour @11am which lasted for about 3hrs. The tour guide was Deni, she spoke very good English, she took us to various places and introduced us to typical Bulgarian folk music, she showed us a basic folk dance and tasted Bulgarian food and drink. It was a great introduction to Sofia. The tour was so enjoyable, we join another one @4pm for the historical tour with Dino. He also spoke very good English, the tour lasted about 2hrs. In one day we were packed with knowledge of the history and cultural of Bulgaria. If we had stayed a bit longer we'll definately join another tour that they offered 'Communist Tour'. Well. This was my first visit to Bulgaria and definately not the last. We highly recommend Sofia free Walking Tour.;19.04.2015;UK
613;criirsara;"I enjoyed the free Sofia tour a lot, the guide, Anni, was very entertaining and enthusiastic, and was able to give a good vibe to the whole group. 
On the same day, in the afternoon, I attended the new offered Communism tour with Niki, who was great in explaining the past of his country, got a good knowledge about things I barely know. I recommend this tours also, as it's really interesting.";19.04.2015;Italy
614;Sandra T;This was a free walking tour of Sofia. It was about 1 1/2 hours long and it was very informative. You walk around the city and the guide talks about the different buildings and happenings of Sofia.;20.04.2015;USA
615;KJonD;"I am a long-time foreign resident of Sofia, so not your typical candidate for a tour. I had a guest coming into to town for one day and the tour was recommended to us by a friend. It was a good suggestion.

The tour starts from convenient location in the center and lasts for roughly two hours. It winds through the streets and past most of the key places of interest downtown. Our guide, Radina, was enthusiastic, knowledgeable and enjoyable to be around. She interacted a lot with the group, which in my case included people from all over the globe. 

The great thing about the tour is that it provides a quick foundation of the major sites and their location. Those with time can go back, enter buildings they are interested in and linger. Others can move on. Either way, the tour provides a foundation so you feel like you have a sense of the city and its history. 

I think the tour could improve by pointing out some additional attractions. For example, when we visited Alexander Nevsky square, it would have been good to point out that there is a very good icon museum in the basement at Nevksy, and the newly opened crypts below Saint Sofia are a must see. 

While I think that there could be some minor tweaks to improve the tour, overall, I think it is great way to learn about Sofia quickly in a fun, group setting. 

The tour is provided free of charge. However, be nice and tip your guide if you think they did a good job.";20.04.2015;Bulgaria
616;Сергей М;It was the first day for us in Sofia so we took this free tour with delightful Christina. We could learn about basic points of interest at once so it was easy to plan our further stay in the city. We were explained basic history of Bulgaria and some nice legends which made the tour very informative. Christina was very friendly, she got into touch with everyone in the group and always was ready to answer the questions. Also we liked the game :);25.04.2015;Russia
617;James P;We highly recommend this walk. It allows you to get to know Sofia. Our guide Nikki kept us entertained with the history of Sofia and the highlights of the city. These tours are a great idea. The guides come from here, know the city well, are enthusiastic, fun and accommodating to all their guests.;28.04.2015;USA
618;直樹 塚;I was guided by Christina and it was really great tour! The guide was really nice person. This tour is free, and also the atmosphere was so free. Everyone should join this tour! You loose nothing anyway :);29.04.2015;Japan
619;Juan Manuel Scarilli;BY FAR, the best free guided tour I've ever done. Amazing. Viki was a very nice and fun guide, and the tour was so interesting. Thanks!;01.04.2015;Argentina
620;Carol Flores;So many interesting stories and history of Sofia and Bulgaria!! A must do!! Guide was awesome!;15.04.2015;USA
621;Sandy Hempe;My first free walking tour, and it could not be better! Thanks to our enthusiastic guide, Nora! Highly recommended, a must do if you visit Sofia!;16.04.2015;
622;Vitorino Jairson;Amazing experience. Fun, smart, informative and interactive. Well done fst team!;17.04.2015;USA
623;Giovanna Serafini;Wonderful guys, so enthusiastic and they guide you through Sofia giving lots of information. Perfect. Niky the best guide i have ever experienced!!! keep on guys!;17.04.2015;Italy
624;Gennadiy Vorobyov;Highly recommended! Thank you, guys.;20.04.2015;Bulgaria
